STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,COUNTERPART_AREA,Counterpart area,MEASURE,Measure,ACCOUNTING_ENTRY,Accounting entry,FS_ENTRY,Flow or stock entry,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,ADJUSTMENT,Adjustment,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,339413,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,352956,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,365012,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,361208,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,355262,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,354894,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,359632,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,361184,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,345712,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,71369,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,70616,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,73706,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,71947,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,73702,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,1397698,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,1406196,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,1436142,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q2,,1474692,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,CA,Current account,D,Expenditure,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q3,,1516651,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q3,,258072,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,263332,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,S,Services,C,Revenue,T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,268590,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2023-Q4,,15481,,A,Normal value,6,Millions,USD,US dollar,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_BOP@DF_BOP(1.0),Balance of payments,I,USA,United States,WXD,Rest of the world,IN1,Primary income,B,Balance (revenue minus expenditure),T,Transactions,Q,Quarterly,XDC,National currency,Y,Calendar and seasonally adjusted,2024-Q1,,6676,,A,Normal value,6,Millions,USD,US dollar,2,Two
